"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"16","Little River at Canyon Mouth Park","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_CMLR",34.28936667,-85.68202778,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_CMLR","Little River at Canyon Mouth Park","River/Stream","This site is located a short distance from where Little River exits the canyon and approximately five kilometers above its confluence with Weiss Lake.  This sampling site is located on a riffle area between two pools that receive heavy use from swimmers.  Just downstream from the site a real-time USGS flow gauging station.  A hiking trail, pavilion, restrooms, and picnic tables and opportunities to swim and fish draw many people daily to this small stretch of river.  Although the restrooms are recent and a new peat moss filtration septic system has been installed, pollution problems may still persist due to people not using the provided facilities.  The site is easily accessed in all conditions.","03150105",NA,NA,NA,NA,34.28936667,-85.68202778,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"17","Little River at DeSoto Falls","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_DFLR",34.54870278,-85.59030278,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_DFLR","Little River at DeSoto Falls","River/Stream","This site is located in the State Park area on the West Fork of Little River, outside of the federal boundary.  The site is just below a concrete impoundment where the water flows over flat slabs of sandstone bedrock.  This area of the State Park receives heavy, concentrated uses.  Fishermen, swimmers, and boaters use the impoundment just above the collection site.  Motorized boats are allowed upon this area of the river, whereas they are not permitted within the Preserve boundary.   Many homes, for both year-round and summer-use, line the edge of the lake and canyon area.  There are restroom facilities available here for visitors but septic tanks of the many surrounding homes may pose possible threats to water quality. Access is easy and safe in all conditions.","03150105",NA,NA,NA,NA,34.54870278,-85.59030278,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"18","Little River at DeSoto State Park","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_DSLR",34.49485833,-85.61586111,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_DSLR","Little River at DeSoto State Park","River/Stream","This site is located on the West Fork of Little River, below the picnic area southeast of the Country Store.  The site is accessed by the Scout trail that leads across Indian Falls.  This area of the river is somewhat narrow and the substrate is fragmented sandstone bedrock with interspersed boulders.  Discharge data are collected by a USGS gauging station located approximately 20 meters upstream.  This site receives abundant recreational use, being within meters of the Scout trail.  Adequate facilities nearby help to reduce any impacts from unsanitary uses.  Other potential threats include agriculture and septic systems of the many homes in the area. Access is easy and safe in all conditions.","03150105",NA,NA,NA,NA,34.49485833,-85.61586111,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"19","Little River at Eberhart Point","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_EPLR",34.35017222,-85.67259444,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_EPLR","Little River at Eberhart Point","River/Stream","This sampling site is located on a riffle between two pools.  The site is accessed by Eberhart trail and is located approximately 50 meters upstream from where the trail meets the river.  Here the river is relatively narrow and the canyon walls tower nearly 121m (400ft) above.  The substrate is composed of large cobble and boulders of various sizes.  Eberhart trail is one of few trails that allow people to gain a ""canyon experience""; however, the trail is rather steep, therefore this area of the river does not receive as much activity as more accessible sites.  Although the limited number of people here may not pose an impact to the river, Bear Creek, another large tributary draining from the west, joins Little River only 300 meters above this sampling site.  Its watershed contains many houses, new developments, and large expanses of agricultural land that could negatively impact water quality.  Access is difficult and special care should be used under icy and snowy conditions.","03150105",NA,NA,NA,NA,34.35017222,-85.67259444,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"20","Little River at Highway 35 Bridge","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_HBLR",34.39565833,-85.62696389,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_HBLR","Little River at Highway 35 Bridge","River/Stream","This site is located above Little River Falls, just upstream of the State Highway 35 bridge.  The river here is broad and flows over large slabs of sandstone bedrock.  Unlike the bouldery substrate found below the falls, here and all along much of the main stem above the falls, the channel is composed of flat, broken bedrock with rocky shoals in the shallow areas.  This site, along with the Canyon Mouth Park, is the most popular area for sunbathing and swimming.  In the summer, people lounge within the pools created by depressions in the sandstone bedrock. Restrooms were just recently added to this area, the installation of which should reduce any negative impacts on water quality, should the patrons oblige. Access is easy and safe in all conditions.","03150105",NA,NA,NA,NA,34.39565833,-85.62696389,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"21","Johnnie's Creek","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_JCJC",34.2974,-85.70235,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_JCJC","Johnnie's Creek","River/Stream","Johnnie's Creek is a major tributary located about one kilometer above the Canyon Mouth Park sample site.  It flows from the west and drains a rather large watershed that contains numerous farms and continually increasing residential development. Samples are taken from below the County Road 275 bridge just above the falls.  Here the creek is somewhat narrow with a substrate of broken bedrock (and beer bottles).   This watershed contains numerous farms including bovine and equine, sheep, llamas, emus, chickens and pigs.  High bacterial counts and nutrients are usually a problem here.  In addition to agricultural use, silviculture practices and expanding residential developments also threaten water quality.   Direct impact on-site is the abuse of patrons.  Although privately owned, this particular site is used for recreation.  No restrooms or trashcans exist therefore the area is highly littered and the stench of fecal matter is usually present.  No means of control have been imposed and continued use and neglect will only further the degradation of the site.  Access is easy and safe (with the exception of trash and menacing trespassers) in all conditions.","03150105",NA,NA,NA,NA,34.2974,-85.70235,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"22","Lookout Mountain Camp","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_LCLR",34.51595278,-85.528975,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_LCLR","Lookout Mountain Camp","River/Stream","The site is located just below the impoundment at a camp for boys.  It is only operational May through August yet there are some year-round residents on site.  The sample is taken with a grab sampler from the camp's swimming dock. The sample site is a long run with deep waters and the substrate is mostly slabs of sandstone bedrock and some cobble.  The area at the dam, just upstream, receives heavy usage and with no restroom facilities or garbage cans, it is very trashy and unmaintained.  This usage combined with excessive housing developments and faulty septic systems creates the potential for serious issues arising in this area.   No problems are known to stem from the camp but their septic system should be routinely checked yet this is unknown to us if this is done.  Access is easy and safe in all conditions.","03150105",NA,NA,NA,NA,34.51595278,-85.528975,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"23","Middle Fork of Little River","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_MFLR",34.53818056,-85.52798333,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_MFLR","Middle Fork of Little River","River/Stream","This is the only site on the Middle Fork of the Little River.  The site is accessed under the bridge over state road 117 along state right-of-ways. This site is located downstream from current and proposed large subdivisions within Walker County, Georgia.  Some agriculture occurs in the area, but domestic development is the biggest concern, especially within the watershed of the Middle Fork. Access to this site is a bit challenging and sometimes dangerous when the grass is allowed to grow up along the road shoulder and around the bridge abutments.","03150105",NA,NA,NA,NA,34.53818056,-85.52798333,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"24","Yellow Creek","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_YCYC",34.40309722,-85.63683333,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_YCYC","Yellow Creek","River/Stream","This site is located just above the falls and the county road 295 bridge.  The sample site is located on the main stem of this fourth order stream just 1.3 kilometers before emptying into the west side of the Little River. This site is not a recreational area, nor does it lie within federal boundaries, however, due to the fact that, for the majority of the times, when measures are high at the Highway 35 bridge site, the source of the problem is traced back up to this creek.  The watershed is a little over 3600 hectares and contains numerous homes, agricultural fields, cattle, horse and chicken farms, and several reclaimed coal strip mines. Access is easy and safe in all conditions.","03150105",NA,NA,NA,NA,34.40309722,-85.63683333,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"25","Bear Creek","11NPSWRD_WQX","11NPSWRD_WQX-NATR_BCBC",34.67344444,-88.08825,"06030006","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NATR_BCBC","Bear Creek","River/Stream","Bear Creek, while not providing easy public access, is nonetheless used by recreationists.  It is also the location of one of the few biological studies.  While free flowing as it passes the Natchez Trace, its headwaters are impounded.","06030006",NA,NA,NA,NA,34.67344444,-88.08825,NA,NA,NA,"GPS-Unspecified","NAD83","313","m",NA,NA,"Topographic Map Interpolation","NGVD29","US","01","033",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"26","Burcham Branch","11NPSWRD_WQX","11NPSWRD_WQX-NATR_BRBR",34.91625,-87.84991667,"06030005","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NATR_BRBR","Burcham Branch","River/Stream",NA,"06030005",NA,NA,NA,NA,34.91625,-87.84991667,NA,NA,NA,"GPS-Unspecified","NAD83","190","m",NA,NA,"Topographic Map Interpolation","NGVD29","US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"27","Colbert Creek","11NPSWRD_WQX","11NPSWRD_WQX-NATR_COCR",34.85716667,-87.90491667,"06030005","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NATR_COCR","Colbert Creek","River/Stream","Colbert Creek, at this sampling location, is dominated by flow from Rock Springs - approximately 50m upstream.  The watershed of Rock Spring is not known as no groundwater tracing has occurred. Access is gained by a short hike from the Rock Springs parking lot.","06030005",NA,NA,NA,NA,34.85716667,-87.90491667,NA,NA,NA,"GPS-Unspecified","NAD83","331","m",NA,NA,"Topographic Map Interpolation","NGVD29","US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"28","Lindsey Creek","11NPSWRD_WQX","11NPSWRD_WQX-NATR_LICR",34.94188889,-87.82861111,"06030005","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-NATR_LICR","Lindsey Creek","River/Stream",NA,"06030005",NA,NA,NA,NA,34.94188889,-87.82861111,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"29","DANW-5","21AWIC","21AWIC-1",32.438605,-86.865515,"03150201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1","DANW-5","River/Stream","Deepest point, main creek channel, Mulberry Creek embayment, approx. 0.5 miles upstream of lake confluence.","03150201",NA,NA,NA,NA,32.438605,-86.865515,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","001",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"30","CNR-1A","21AWIC","21AWIC-1001",31.36128,-86.51968,"03140301","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1001","CNR-1A","River/Stream","Conecuh River below Point A Dam at USGS gage (near River Falls)","03140301",NA,NA,NA,NA,31.36128,-86.51968,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","039",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"31","CO-12","21AWIC","21AWIC-1002",34.28186,-85.67244,"03150105","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1002","CO-12","River/Stream","Little R Center of bridge on Hwy 273","03150105",NA,NA,NA,NA,34.28186,-85.67244,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"32","CRDM-1","21AWIC","21AWIC-1004",34.39282,-87.02805,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1004","CRDM-1","River/Stream","Crowdabout Creek at Hopewell Road (Teague Bridge)","06030002",NA,NA,NA,NA,34.39282,-87.02805,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"33","CRDM-2","21AWIC","21AWIC-1005",34.337,-87.074,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1005","CRDM-2","River/Stream","Crowdabout Creek at Hidden Valley Road","06030002",NA,NA,NA,NA,34.337,-87.074,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","103",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"34","CRCC-5","21AWIC","21AWIC-1007",33.27708,-85.67016,"03150109","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1007","CRCC-5","River/Stream","Crooked Cr at Bewick Road in Berwick","03150109",NA,NA,NA,NA,33.27708,-85.67016,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","027",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"35","PKML-2","21AWIC","21AWIC-1010",32.58551,-85.50249,"03150110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1010","PKML-2","River/Stream","Parkerson Mill Cr at Shug Jordan Parkway.","03150110",NA,NA,NA,NA,32.58551,-85.50249,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","081",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"36","HALM-2","21AWIC","21AWIC-1017",30.610778,-88.190881,"03160205","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1017","HALM-2","River/Stream","Halls Mill Cr at Hillcrest Rd.","03160205",NA,NA,NA,NA,30.610778,-88.190881,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","097",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"37","DEMS-5","21AWIC","21AWIC-102",32.807047,-88.08067,"03160106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-102","DEMS-5","River/Stream","Deepest point, main creek channel, Trussels Creek embayment, approx. 0.5 miles upstream of confluence with Tombigbee River.","03160106",NA,NA,NA,NA,32.807047,-88.08067,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","063",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"38","FCTS-41","21AWIC","21AWIC-1026",32.737729,-88.132509,"03160106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1026","FCTS-41","River/Stream","Factory Cr at Sumter Co. Rd. 21 crossing.","03160106",NA,NA,NA,NA,32.737729,-88.132509,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","119",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"39","FLIM-2A","21AWIC","21AWIC-1027",34.74926,-86.44666,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1027","FLIM-2A","River/Stream","Flint River at Madison County Rd. 60 (Brownsboro Rd.)","06030002",NA,NA,NA,NA,34.74926,-86.44666,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"40","DEMS-6","21AWIC","21AWIC-103",32.795364,-88.064619,"03160106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-103","DEMS-6","River/Stream","Deepest point, main creek channel, Brush Creek embayment, approx. 0.5 miles upstream of confluence with Tombigbee River.","03160106",NA,NA,NA,NA,32.795364,-88.064619,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","063",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"41","FMCJ-1B","21AWIC","21AWIC-1035",33.60191,-86.75527,"03160111","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1035","FMCJ-1B","River/Stream","Fivemile Ck at AL State Hwy 79 (near Ketona)","03160111",NA,NA,NA,NA,33.60191,-86.75527,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","073",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"42","GDWE-1","21AWIC","21AWIC-1039",32.44211,-86.0086,"03150110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1039","GDWE-1","River/Stream","Goodwater Creek at Rigsby Road","03150110",NA,NA,NA,NA,32.44211,-86.0086,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","051",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
